Column1,ARO_BUSSTO,BUSSTOP_EN,BUSSTOP_NM,BUS_NODE_I,GPS_LATI,GPS_LONG,ROUTE_NO
"1599","34260",O-dong,오동,"8002222",36.230983999999999,127.309010000000001,"21, 24"
"1600","35120",---,오룡골,"8007258",36.246339999999996,127.346750000000000,"22"
"1601","35130",---,오룡골,"8007260",36.246440000000000,127.346694999999997,"22"
"1602","21370",Oryong Station Exit 1,오룡역1번출구,"8002227",36.327419999999996,127.406319999999994,"101, 315, 614, 618"
"1603","21290",Dongseoro Negeori(Intersection),오룡역2번출구,"8001541",36.328133000000001,127.404200000000003,"103, 317, 601"
"1604","21300",Oryong Station Exit 3,오룡역3번출구,"8002228",36.328372999999999,127.403853999999995,"103, 317, 601, 614"
"1605","21260",Dongseoro Negeori(Intersection),오룡역4번출구,"8001542",36.329920000000001,127.403090000000006,"107, 315, 604, 614"
"1606","21330",Oryong Station Exit 4,오룡역4번출구,"8002229",36.329079999999998,127.404079999999993,"101, 618"
"1607","21160",Oryong Station Exit 5,오룡역5번출구,"8002230",36.329970000000003,127.403660000000002,"101, 107, 315, 604, 618"
"1608","21170",Dongseoro Negeori(Intersection),오룡역6번출구,"8001543",36.329334000000003,127.406890000000004,"107, 317, 601, 604"
"1609","21180",Oryong Station Exit 7,오룡역7번출구,"8002231",36.328983000000001,127.407020000000003,"107, 317, 601, 604, 614"
"1610","21270",Oryu Jinjam Negeori(Intersection),오류네거리,"8002781",36.326990000000002,127.402820000000006,"612, 622"
"1611","21280",Oryu Jinjam Negeori(Intersection),오류네거리,"8002780",36.326729999999998,127.403205999999997,"612"
"1612","21310",Taepyeong-dong Underpass,오류초등학교입구,"8002784",36.326537999999999,127.404229999999998,"603"
"1613","21320",Taepyeong-dong Underpass,오류초등학교입구,"8002785",36.326369999999997,127.403970000000001,"603"
"1614","13060",Origol,오리골,"8002232",36.349285000000002,127.487790000000004,"63"
"1615","22650",Zoo Land,오월드,"8001393",36.290103999999999,127.394970000000001,"115, 301, 311, 314, 315, 318, 33-1"
"1616","23380",Zoo Land,오월드,"8007031",36.290076999999997,127.395579999999995,"115, 301, 311, 314, 315, 318, 33-1"
"1617","22740",---,오월드기점지,"8007157",36.292746999999999,127.399500000000003,"115, 301, 311, 314, 315, 318"
